"wolf","body_length_cm","snout_length_cm"
"gray",145.263277528442,29.4627858108969
"gray",154.731487377795,32.2333494724674
"gray",150.333999904736,30.4292032740868
"gray",149.11262316949,30.9298697932631
"gray",158.283973294501,32.2864712011609
"gray",150.980123956363,30.4402096243099
"gray",157.258438226086,32.9815301315922
"gray",147.931322828016,31.0221514839159
"gray",150.841277921237,30.7933188920744
"gray",151.301497017539,30.4348011285674
"gray",155.511779925677,31.2995252147931
"gray",157.700790604322,32.8051660097997
"gray",155.938974435796,32.4099066935014
"gray",151.219772094937,30.4689339303594
"gray",156.357562667571,31.4666948200799
"gray",150.836492235318,31.4065997649138
"gray",148.964966942096,30.6779092431421
"gray",160.839350441771,32.928019979856
"gray",155.425623046957,32.3095118755793
"gray",148.198314445888,30.9444865763297
"gray",160.940540873204,33.1143939594317
"gray",146.144051280855,30.3536683079148
"gray",152.407015168162,31.0468689899772
"gray",158.942730996673,32.9745880006588
"gray",146.407708515493,30.4236319368358
"gray",155.608979953724,32.1534987126917
"dire",151.657392289885,15.2768468172877
"dire",165.115819847563,17.8560645156672
"dire",143.319144756456,15.5220352990522
"dire",153.931169223735,15.6451033734301
"dire",161.428448630584,17.2402123196649
"dire",150.059517151795,15.9828326705964
"dire",155.87614902076,16.0872059922271
"dire",153.662135038122,15.7946379702291
"dire",158.064256653199,15.9152200165119
"dire",141.439840598334,14.5482350617414
"dire",169.618401621862,17.2284264219817
"dire",138.188872690743,14.8657453307626
"dire",148.857604507641,15.3710288742525
"dire",146.586786205787,15.1497004417657
"dire",153.523660622519,16.3202641316664
"dire",163.882316266578,16.8051757460746
"dire",148.664043372529,15.8961872590168
"dire",146.014896679994,15.4239535811945
"dire",150.346375611714,16.2017679408071
"dire",151.792066604599,16.4826145702659
"dire",155.870359391973,15.6396068270606
"dire",157.365888247112,15.9552470150757
"dire",160.267051258558,17.1459739622871
"dire",153.470158383304,15.939716128647
"dire",162.622018228544,16.5877479178306
