"population","mass_mg"
"Georgia",0.185831442015383
"Georgia",0.186827512402744
"Georgia",0.260733643350798
"Georgia",0.297347448545667
"Georgia",0.191248769916254
"Georgia",0.355522093993538
"Georgia",0.223929147144867
"Georgia",0.20349716889616
"Georgia",0.270968557716948
"Georgia",0.305556850611626
"Georgia",0.271430053490299
"Georgia",0.346242804458887
"Georgia",0.265496090506821
"Georgia",0.24842070568225
"Georgia",0.273603297900474
"Georgia",0.232891969349977
"Georgia",0.177899429622867
"Georgia",0.249027968991491
"Georgia",0.32083430778092
"Georgia",0.227682212071582
"Georgia",0.264120131443933
"Georgia",0.359915127779239
"Georgia",0.177569038556018
"Georgia",0.337503431745208
"Georgia",0.262637877335193
"Georgia",0.245309310835395
"Georgia",0.208179871379834
"Georgia",0.250153820489522
"Georgia",0.252098748093733
"Georgia",0.257716935996717
"Japan",0.335088674833172
"Japan",0.360504114574219
"Japan",0.352550855063157
"Japan",0.352324231474338
"Japan",0.336015248619999
"Japan",0.266951343043766
"Japan",0.30213497933411
"Japan",0.214128939312902
"Japan",0.438580797129735
"Japan",0.179603633968914
"Japan",0.379355466426537
"Japan",0.416970430516595
"Japan",0.320895932662801
"Japan",0.473289412074612
"Japan",0.250172413811646
"Japan",0.383618008676795
"Japan",0.355151724950327
"Japan",0.305353727015007
"Japan",0.347338029558071
"Japan",0.40018359032159
"Japan",0.277716697552348
"Japan",0.309651484022124
"Japan",0.434114980338036
"Japan",0.329112358042095
"Japan",0.358382115727093
"Japan",0.354463929529254
"Japan",0.326729754335504
"Japan",0.259273956429388
"Japan",0.386797711184879
"Korea",0.364691057987585
"Korea",0.309639633836182
"Korea",0.361408646673148
"Korea",0.289921057527483
"Korea",0.324583349540843
"Korea",0.260925148085229
"Korea",0.373447175529451
"Korea",0.307792298803355
"Korea",0.31675565247319
"Korea",0.255275592652172
"Korea",0.298320969975742
"Korea",0.364170876238917
"Korea",0.276851682703288
"Korea",0.34501234032934
"Korea",0.252710356435518
"Korea",0.296134216088352
"Korea",0.227045504914206
"Korea",0.272550561462708
"Korea",0.27687278462566
"Korea",0.295062634502438
"Korea",0.228789247083968
"Korea",0.280095752294442
"Korea",0.274272504586908
"Korea",0.356938076776397
"Korea",0.310411582232322
"Korea",0.264740763518211
"Korea",0.304321295765117
"Korea",0.326248280874595
"Korea",0.33075355281563
"Korea",0.351060689473285
